D:\PROShael\alshuail-backend\src\config\env.js: line 50, col 17, Warning - Unexpected string concatenation. (prefer-template)
D:\PROShael\alshuail-backend\src\config\env.js: line 54, col 16, Warning - Unexpected string concatenation. (prefer-template)
D:\PROShael\alshuail-backend\src\middleware\auth.js: line 7, col 52, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\middleware\auth.js: line 120, col 52, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\middleware\auth.js: line 187, col 57, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\middleware\authMiddleware.js: line 7, col 27, Warning - 'roles' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\middleware\rateLimiter.js: line 229, col 11, Warning - 'clientId' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\routes\expenses.js: line 20, col 49, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\financialReports.js: line 16, col 49, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\memberMonitoringOptimized.js: line 155, col 26, Warning - 'error' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\routes\memberStatementRoutes.js: line 3, col 23, Warning - 'requireOwnershipOrAdmin' is defined but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\routes\memberStatementRoutes.js: line 13, col 26, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\members.js: line 31, col 23, Warning - 'requirePermission' is defined but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\routes\members.js: line 65, col 7, Warning - 'isAuthenticated' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\routes\notifications.js: line 22, col 26, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\notifications.js: line 49, col 26, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\payments.js: line 73, col 26, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\settings.js: line 402, col 64, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\settings.js: line 448, col 64, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\routes\statementRoutes.js: line 16, col 26, Warning - Async arrow function has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\services\arabicPdfExporter.js: line 126, col 3, Warning - Async method 'generateFinancialReportPDF' has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\services\arabicPdfExporter.js: line 430, col 25, Warning - 'charts' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\services\cacheService.js: line 245, col 12, Warning - Redundant use of `await` on a return value. (no-return-await)
D:\PROShael\alshuail-backend\src\services\cacheService.js: line 265, col 14, Warning - Redundant use of `await` on a return value. (no-return-await)
D:\PROShael\alshuail-backend\src\services\financialAnalyticsService.js: line 464, col 9, Warning - 'includeCharts' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\services\optimizedReportQueries.js: line 136, col 12, Warning - Redundant use of `await` on a return value. (no-return-await)
D:\PROShael\alshuail-backend\src\services\paymentProcessingService.js: line 213, col 3, Warning - Static async method 'validatePaymentAmount' has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\services\receiptService.js: line 1, col 10, Warning - 'supabase' is defined but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\services\receiptService.js: line 67, col 3, Warning - Static async method 'generateReceiptData' has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\services\receiptService.js: line 136, col 3, Warning - Static async method 'generatePDFReceipt' has no 'await' expression. (require-await)
D:\PROShael\alshuail-backend\src\services\receiptService.js: line 154, col 46, Warning - 'footer' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\services\supabaseService.js: line 19, col 7, Warning - 'supabaseAnonKey' is assigned a value but never used. Allowed unused vars must match /^_/u. (no-unused-vars)
D:\PROShael\alshuail-backend\src\utils\errorCodes.js: line 301, col 45, Warning - 'next' is defined but never used. Allowed unused args must match /^_/u. (no-unused-vars)

33 problems
